Date,Open,High,Low,Close,Adj Close,Volume
2020-10-12,128.070007,128.250000,126.440002,127.209999,120.978188,4635100
2020-10-13,126.570000,127.150002,124.459999,125.099998,118.971542,5406100
2020-10-14,125.129997,126.940002,125.129997,125.940002,119.770409,3728100
2020-10-15,124.080002,125.220001,123.849998,124.889999,118.771843,3385300
2020-10-16,125.169998,126.430000,124.660004,125.930000,119.760895,4710400
2020-10-19,126.800003,127.349998,125.080002,125.519997,119.370979,7478700
2020-10-20,119.800003,120.150002,116.839996,117.370003,111.620232,21501100
2020-10-21,116.660004,117.690002,114.790001,115.059998,109.423393,9755300
2020-10-22,115.000000,116.059998,112.980003,115.760002,110.089111,7855800
2020-10-23,116.500000,116.620003,115.529999,116.000000,110.317352,3893400
2020-10-26,114.449997,114.900002,111.839996,112.220001,106.722527,7203400
2020-10-27,112.150002,112.220001,110.029999,110.559998,105.143837,5936100
2020-10-28,108.660004,109.730003,105.919998,106.650002,101.425400,9427300
2020-10-29,107.250000,109.639999,106.550003,108.910004,103.574684,6760200
2020-10-30,107.900002,111.800003,107.750000,111.660004,106.189957,7921500
2020-11-02,112.650002,113.830002,112.250000,112.910004,107.378731,5311500
2020-11-03,114.000000,115.650002,113.629997,114.160004,108.567482,4204300
2020-11-04,112.330002,113.910004,111.160004,111.900002,106.418190,5800100
2020-11-05,113.300003,115.290001,113.010002,114.769997,109.147598,4902200
2020-11-06,115.080002,115.099998,113.389999,114.040001,108.453362,5249200
2020-11-09,117.879997,119.739998,115.269997,115.529999,111.463547,8992200
2020-11-10,116.690002,118.169998,116.250000,117.910004,113.759781,5622800
2020-11-11,118.120003,118.349998,116.220001,117.199997,113.074768,4289600
2020-11-12,115.629997,116.370003,113.480003,114.500000,110.469810,6498200
2020-11-13,115.190002,117.370003,115.010002,116.849998,112.737091,4682600
2020-11-16,118.300003,118.550003,117.120003,118.360001,114.193939,5293400
2020-11-17,117.599998,118.540001,117.070000,117.699997,113.557167,4134500
2020-11-18,117.720001,118.879997,116.750000,116.769997,112.659897,4606800
2020-11-19,116.540001,117.449997,115.889999,117.180000,113.055473,3439600
2020-11-20,117.599998,118.040001,116.690002,116.940002,112.823921,5024300
2020-11-23,117.430000,120.519997,117.269997,120.089996,115.863037,5650400
2020-11-24,120.860001,124.730003,120.809998,124.419998,120.040634,7752500
2020-11-25,122.930000,124.330002,122.110001,124.199997,119.828377,4135900
2020-11-27,124.199997,125.309998,123.910004,124.349998,119.973099,2091200
2020-11-30,124.099998,125.000000,123.089996,123.519997,119.172310,5988000
2020-12-01,123.900002,125.830002,123.080002,123.160004,118.824989,5309100
2020-12-02,122.849998,124.639999,122.410004,124.620003,120.233597,3690700
2020-12-03,124.160004,124.860001,123.290001,123.610001,119.259148,4548200
2020-12-04,123.970001,127.379997,123.639999,127.199997,122.722778,5522800
2020-12-07,126.489998,126.970001,124.570000,124.699997,120.310776,8318500
2020-12-08,125.320000,126.330002,124.639999,125.709999,121.285233,5395000
2020-12-09,125.800003,127.690002,125.699997,126.790001,122.327225,6513500
2020-12-10,126.349998,126.930000,124.940002,124.959999,120.561630,4803200
2020-12-11,124.080002,125.510002,123.610001,124.269997,119.895920,4481400
2020-12-14,125.320000,126.239998,123.470001,123.529999,119.181953,5050000
